Stop Code,stop_name,stop_lat_new,stop_lon_new
5004,Alston Ave at Main St (SB),35.98709,-78.88828
5067,Mangum St at Geer St,36.0038914195,-78.8948916823
5089,Duke St at Englewood Ave,36.015543,-78.905404
5111,Lawson St at Merrick St (Pearson Cafeter,35.9763470379,-78.8996856429
5132,Roxboro Rd at Carver St,36.03955,-78.89922
5139,Gregson St at Dacian Ave,36.007956,-78.908324
5201,Angier Ave at Wrenn Rd (SB),35.952618,-78.849752
5396,Fayetteville St at Red Oak Ave (NB),35.966541,-78.904635
5397,Fayetteville St at Dunbar St,35.9788676,-78.9000381
5399,Club Blvd at Duke St,36.017019,-78.906174
5433,Main St at Morgan St (WB),36.0016282,-78.9116598
5466,Roxboro Rd at Argonne Dr (Northern High,36.063434,-78.9041156
5512,Alston Ave at Cecil St (NCCU),35.9715036094,-78.8948594112
5519,University Dr at Hill St (Forest Hills S,35.985437,-78.910176
5563,Duke St at Fairfield St,36.0472356,-78.9056442
5594,Hillsborough Rd at Trent Dr (WB),36.0120661232,-78.9304082103
5639,Main St at Morgan St (EB),36.0009172023,-78.9108549817
5690,NC 54 at NC 55 (EB),35.902195,-78.894657
5708,Angier Ave at Food Bank CENC (WB),35.9779875,-78.870447
5725,Danube Ln at Ben Franklin Blvd,36.047673,-78.888477
5740,Chandler Rd at Chance Dr,35.99492,-78.83363
5787,Roxboro Rd at Wellington Dr (Northern Hi,36.06116,-78.90365
5822,NC 55 at NC 54 (NB),35.90347,-78.89507
5876,Ross Rd at Melbourne St,35.99258,-78.8534
5877,S Roxboro St at Umstead St (SB),35.982823,-78.903221
5899,Briggs Ave at Person St (NB),35.969283,-78.877145
5908,Chapel Hill Rd at House St,35.99033,-78.92395
5929,Briggs Ave at Community Gardens,35.9653,-78.879303
5940,Hardee St at Benning St (SB),36.003223,-78.86718
6012,Erwin Rd at Fulton St (Duke University H,36.00811,-78.93776
6163,Chapel Hill Rd at W Cornwallis Rd (Yates,35.9734272,-78.9371096
6221,Brier Leaf Ln at Brier Creek Pkwy,35.90902,-78.7863
6263,Miami Blvd at Ellis Rd (Bethesda Element,35.941329,-78.839052
6267,TW Alexander Dr at Miami Blvd (EB),35.923375,-78.84512
6312,Angier Ave at Passenger Pl,35.949651,-78.844607
6340,NC 55 at Carpenter Fletcher Rd (SB),35.9145746309,-78.8919422649
6395,Briggs Ave at Person St (SB 1),35.969367,-78.8773
6399,Capps St at Bacon St (WB),35.96525,-78.883684
6472,Herndon Rd at Fayetteville Rd,35.905677,-78.93684
6485,Hardee St at Mimosa St (SB),36.001443,-78.86678
6552,Morreene Rd at Erwin Rd,36.003969,-78.953303
6709,Horton Rd at Guess Rd (Willowdaile Apart,36.0575453005,-78.9313461741
6722,Duke St at Holt School Rd,36.05277,-78.90483
6724,Duke St at Holt School Rd (NB),36.052804243,-78.9045841623
6727,Ben Franklin Blvd at Pacific Ave (SB),36.04608,-78.89782
6728,Danube Ln at Ben Franklin Blvd,36.04723,-78.88858
6744,Taylor St at Blacknall St (Eastway Eleme,35.9896048753,-78.8842839208
996511,Holloway St at Dillard St,35.99478,-78.89423